2025-07-23 12:25:54.879 [AIOT-BE] ERROR: Error fetching permissions: Cannot read properties of undefined (reading 'getRedisClient') {"stack":"TypeError: Cannot read properties of undefined (reading 'getRedisClient')\n    at getPermissions (/home/user/GitHub/AIOT/be/src/controller/rbac/PermissionController.ts:115:32)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middleware/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 12:36:17.751 [AIOT-BE] ERROR: 這是 ERROR 訊息 - 生產環境應寫入檔案
2025-07-23 20:25:59.955 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:25:59.961 [AIOT-BE] ERROR: Error fetching users: Cannot read properties of undefined (reading 'userService') {"stack":"TypeError: Cannot read properties of undefined (reading 'userService')\n    at getUsers (/home/user/GitHub/AIOT/be/src/controllers/rbac/UserController.ts:100:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:25:59.964 [AIOT-BE] ERROR: Error fetching permissions: Cannot read properties of undefined (reading 'permissionService') {"stack":"TypeError: Cannot read properties of undefined (reading 'permissionService')\n    at getPermissions (/home/user/GitHub/AIOT/be/src/controllers/rbac/PermissionController.ts:94:44)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:25:59.984 [AIOT-BE] ERROR: Error fetching users: Cannot read properties of undefined (reading 'userService') {"stack":"TypeError: Cannot read properties of undefined (reading 'userService')\n    at getUsers (/home/user/GitHub/AIOT/be/src/controllers/rbac/UserController.ts:100:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:25:59.991 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:01.052 [AIOT-BE] ERROR: Error fetching users: Cannot read properties of undefined (reading 'userService') {"stack":"TypeError: Cannot read properties of undefined (reading 'userService')\n    at getUsers (/home/user/GitHub/AIOT/be/src/controllers/rbac/UserController.ts:100:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:01.054 [AIOT-BE] ERROR: Error fetching roles: Cannot read properties of undefined (reading 'roleService') {"stack":"TypeError: Cannot read properties of undefined (reading 'roleService')\n    at getRoles (/home/user/GitHub/AIOT/be/src/controllers/rbac/RoleController.ts:128:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:01.067 [AIOT-BE] ERROR: Error fetching permissions: Cannot read properties of undefined (reading 'permissionService') {"stack":"TypeError: Cannot read properties of undefined (reading 'permissionService')\n    at getPermissions (/home/user/GitHub/AIOT/be/src/controllers/rbac/PermissionController.ts:94:44)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
2025-07-23 20:26:01.086 [AIOT-BE] ERROR: Error fetching users: Cannot read properties of undefined (reading 'userService') {"stack":"TypeError: Cannot read properties of undefined (reading 'userService')\n    at getUsers (/home/user/GitHub/AIOT/be/src/controllers/rbac/UserController.ts:100:38)\n    at Layer.handle [as handle_request] (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/layer.js:95:5)\n    at next (/home/user/GitHub/AIOT/be/node_modules/express/lib/router/route.js:149:13)\n    at <anonymous> (/home/user/GitHub/AIOT/be/src/middlewares/permissionMiddleware.ts:158:17)\n    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)"}
